attendance_id,employee_id,date,check_in,check_out,status
1,1,2025-01-01,08:56:00,17:08:00,Present
2,1,2025-01-02,08:34:00,16:26:00,Present
3,1,2025-01-03,09:03:00,17:18:00,Present
4,1,2025-01-04,,,Absent
5,1,2025-01-05,09:22:00,18:01:00,Present
6,1,2025-01-06,09:16:00,17:25:00,Present
7,1,2025-01-07,09:09:00,17:13:00,Present
8,1,2025-01-08,09:41:00,17:32:00,Present
9,1,2025-01-09,09:58:00,18:18:00,Present
10,1,2025-01-10,08:42:00,17:10:00,Present
11,1,2025-01-11,,,Leave
12,1,2025-01-12,09:04:00,16:56:00,Present
13,1,2025-01-13,08:58:00,17:31:00,Present
14,1,2025-01-14,08:48:00,17:24:00,Present
15,1,2025-01-15,09:07:00,16:58:00,Present
16,1,2025-01-16,08:46:00,16:31:00,Present
17,1,2025-01-17,09:16:00,17:01:00,Present
18,1,2025-01-18,09:04:00,17:46:00,Present
19,1,2025-01-19,08:37:00,17:19:00,Present
20,1,2025-01-20,,,Leave
21,1,2025-01-21,08:43:00,16:48:00,Present
22,1,2025-01-22,09:39:00,17:44:00,Present
23,1,2025-01-23,08:33:00,16:20:00,Present
24,1,2025-01-24,09:53:00,17:39:00,Present
25,1,2025-01-25,09:50:00,18:28:00,Present
26,1,2025-01-26,09:06:00,16:56:00,Present
27,1,2025-01-27,08:40:00,16:45:00,Present
28,1,2025-01-28,09:59:00,17:42:00,Present
29,1,2025-01-29,08:44:00,16:32:00,Present
30,1,2025-01-30,09:38:00,17:42:00,Present
31,2,2025-01-01,09:40:00,17:47:00,Present
32,2,2025-01-02,09:21:00,17:51:00,Present
33,2,2025-01-03,09:31:00,17:31:00,Present
34,2,2025-01-04,08:52:00,17:38:00,Present
35,2,2025-01-05,08:55:00,17:26:00,Present
36,2,2025-01-06,,,Absent
37,2,2025-01-07,09:33:00,17:57:00,Present
38,2,2025-01-08,09:29:00,17:57:00,Present
39,2,2025-01-09,09:49:00,18:12:00,Present
40,2,2025-01-10,09:52:00,17:58:00,Present
41,2,2025-01-11,09:41:00,18:02:00,Present
42,2,2025-01-12,09:02:00,17:22:00,Present
43,2,2025-01-13,08:31:00,16:20:00,Present
44,2,2025-01-14,08:55:00,17:14:00,Present
45,2,2025-01-15,09:16:00,17:48:00,Present
46,2,2025-01-16,09:14:00,17:53:00,Present
47,2,2025-01-17,09:39:00,17:21:00,Present
48,2,2025-01-18,08:35:00,16:24:00,Present
49,2,2025-01-19,08:34:00,16:28:00,Present
50,2,2025-01-20,09:13:00,16:59:00,Present
51,2,2025-01-21,09:09:00,17:58:00,Present
52,2,2025-01-22,09:17:00,17:32:00,Present
53,2,2025-01-23,09:19:00,17:30:00,Present
54,2,2025-01-24,08:50:00,17:04:00,Present
55,2,2025-01-25,09:51:00,17:56:00,Present
56,2,2025-01-26,09:22:00,17:34:00,Present
57,2,2025-01-27,08:38:00,16:50:00,Present
58,2,2025-01-28,09:57:00,18:11:00,Present
59,2,2025-01-29,09:17:00,18:05:00,Present
60,2,2025-01-30,08:57:00,17:37:00,Present
61,3,2025-01-01,09:41:00,17:49:00,Present
62,3,2025-01-02,09:24:00,18:03:00,Present
63,3,2025-01-03,08:46:00,16:43:00,Present
64,3,2025-01-04,09:48:00,18:30:00,Present
65,3,2025-01-05,08:43:00,17:08:00,Present
66,3,2025-01-06,,,Leave
67,3,2025-01-07,09:59:00,18:18:00,Present
68,3,2025-01-08,08:43:00,17:07:00,Present
69,3,2025-01-09,09:55:00,18:28:00,Present
70,3,2025-01-10,09:44:00,17:39:00,Present
71,3,2025-01-11,09:03:00,17:11:00,Present
72,3,2025-01-12,09:52:00,17:39:00,Present
73,3,2025-01-13,09:07:00,17:56:00,Present
