performance_id,employee_id,review_month,rating,remarks
1,1,2024-12,1,Needs Improvement
2,2,2024-12,1,Needs Improvement
3,3,2024-12,5,Needs Improvement
4,4,2024-12,3,Needs Improvement
5,5,2024-12,2,Good
6,6,2024-12,3,Good
7,7,2024-12,5,Needs Improvement
8,8,2024-12,5,Needs Improvement
9,9,2024-12,3,Good
10,10,2024-12,1,Good
11,11,2024-12,4,Needs Improvement
12,12,2024-12,5,Needs Improvement
13,13,2024-12,5,Good
14,14,2024-12,4,Good
15,15,2024-12,5,Good
16,16,2024-12,5,Good
17,17,2024-12,1,Needs Improvement
18,18,2024-12,5,Good
19,19,2024-12,4,Good
20,20,2024-12,1,Good
21,21,2024-12,4,Needs Improvement
22,22,2024-12,3,Good
23,23,2024-12,2,Good
24,24,2024-12,4,Needs Improvement
25,25,2024-12,4,Good
26,26,2024-12,3,Needs Improvement
27,27,2024-12,1,Good
28,28,2024-12,1,Good
29,29,2024-12,2,Good
30,30,2024-12,1,Good
31,31,2024-12,5,Needs Improvement
32,32,2024-12,2,Needs Improvement
33,33,2024-12,5,Good
34,34,2024-12,1,Needs Improvement
35,35,2024-12,1,Good
36,36,2024-12,4,Good
37,37,2024-12,2,Needs Improvement
38,38,2024-12,3,Needs Improvement
39,39,2024-12,5,Good
40,40,2024-12,1,Good
41,41,2024-12,1,Good
42,42,2024-12,4,Needs Improvement
43,43,2024-12,3,Needs Improvement
44,44,2024-12,3,Needs Improvement
45,45,2024-12,5,Needs Improvement
46,46,2024-12,3,Needs Improvement
47,47,2024-12,2,Good
48,48,2024-12,5,Needs Improvement
49,49,2024-12,1,Needs Improvement
50,50,2024-12,5,Good
51,51,2024-12,2,Good
52,52,2024-12,1,Needs Improvement
53,53,2024-12,3,Good
54,54,2024-12,5,Good
55,55,2024-12,2,Good
56,56,2024-12,4,Needs Improvement
57,57,2024-12,5,Good
58,58,2024-12,3,Good
59,59,2024-12,1,Good
60,60,2024-12,1,Good
61,61,2024-12,4,Needs Improvement
62,62,2024-12,3,Needs Improvement
63,63,2024-12,1,Needs Improvement
64,64,2024-12,3,Needs Improvement
65,65,2024-12,2,Good
66,66,2024-12,5,Needs Improvement
67,67,2024-12,1,Good
68,68,2024-12,3,Needs Improvement
69,69,2024-12,4,Good
70,70,2024-12,4,Good
71,71,2024-12,3,Needs Improvement
72,72,2024-12,2,Good
73,73,2024-12,2,Good
74,74,2024-12,3,Needs Improvement
75,75,2024-12,4,Needs Improvement
76,76,2024-12,4,Good
